Company,City,Robot_Type,Department,Tasks_Assigned,Tasks_Completed,Completion_Rate,Date,Robot_Status
Saudi German Hospital,Jubail,Service Robot,Customer Service,81,80,98.8,2024-01-02,Inactive
SABIC,Madinah,Sorting Robot,Logistics,269,221,82.2,2024-04-19,Needs Maintenance
Dar Al Riyadh,Madinah,Medical Assistant,Facility Management,146,119,81.5,2024-03-12,Active
Saudi Red Crescent,Dhahran,Delivery Robot,Administration,137,120,87.6,2024-02-24,Needs Maintenance
National Water Company,Riyadh,Delivery Robot,Production,233,223,95.7,2024-03-10,Under Repair
Alinma Bank,Madinah,Delivery Robot,Facility Management,77,70,90.9,2024-03-14,Active
Alhokair Group,Mecca,Medical Assistant,Production,66,65,98.5,2024-04-28,Active
King Fahd Medical City,Abha,Task Organizer,Administration,56,45,80.4,2024-04-20,Active
King Saud University,Jeddah,Service Robot,Administration,185,176,95.1,2024-01-24,Active
Mobily,Riyadh,Task Organizer,Healthcare,70,63,90.0,2024-04-28,Active
King Saud University,Jeddah,Inspection Robot,Logistics,102,96,94.1,2024-02-09,Needs Maintenance
King Fahd Medical City,Al Kharj,Delivery Robot,Customer Service,212,179,84.4,2024-01-09,Active
Mobily,Dhahran,Delivery Robot,Administration,257,226,87.9,2024-01-08,Active
King Fahd Medical City,Riyadh,Delivery Robot,Security,270,239,88.5,2024-01-07,Active
Saudi Electricity Company,Al Kharj,Medical Assistant,Production,123,101,82.1,2024-01-11,Active
National Water Company,Abha,Cleaning Robot,Logistics,117,115,98.3,2024-05-03,Active
Ma'aden,Abha,Cleaning Robot,Security,75,69,92.0,2024-02-18,Active
Saudi Red Crescent,Riyadh,Inspection Robot,Healthcare,104,98,94.2,2024-02-06,Active
Riyadh Airports,Dammam,Medical Assistant,Production,213,175,82.2,2024-03-11,Active
Al Rajhi Bank,Tabuk,Medical Assistant,IT,36,33,91.7,2024-04-10,Active
National Water Company,Madinah,Service Robot,Facility Management,256,222,86.7,2024-03-28,Active
Ma'aden,Riyadh,Delivery Robot,Customer Service,186,149,80.1,2024-04-19,Active
Riyadh Airports,Al Kharj,Delivery Robot,Administration,130,126,96.9,2024-01-30,Active
Tasnee,Abha,Medical Assistant,Customer Service,59,58,98.3,2024-04-15,Needs Maintenance
Tasnee,Dhahran,Sorting Robot,Security,76,76,100.0,2024-01-25,Active
Almarai,Al Kharj,Sorting Robot,Security,33,32,97.0,2024-05-13,Active
SABIC,Al Kharj,Task Organizer,Production,161,129,80.1,2024-04-15,Active
Riyadh Airports,Dhahran,Medical Assistant,Administration,232,197,84.9,2024-02-09,Active
Ma'aden,Dhahran,Medical Assistant,Logistics,193,188,97.4,2024-03-16,Active
Ma'aden,Jubail,Service Robot,Administration,63,61,96.8,2024-01-22,Active
Dar Al Riyadh,Madinah,Inspection Robot,Production,173,162,93.6,2024-04-05,Active
Binladin Group,Dammam,Delivery Robot,Administration,57,48,84.2,2024-04-26,Active
SABIC,Jeddah,Inspection Robot,Facility Management,144,119,82.6,2024-03-18,Active
Saudi Aramco,Jubail,Task Organizer,Facility Management,194,183,94.3,2024-05-13,Active
Riyadh Airports,Madinah,Inspection Robot,Security,147,145,98.6,2024-02-05,Active
Riyadh Airports,Jeddah,Medical Assistant,Logistics,106,93,87.7,2024-02-15,Active
National Water Company,Abha,Service Robot,Healthcare,213,176,82.6,2024-02-11,Active
Al Rajhi Bank,Al Kharj,Inspection Robot,Administration,61,55,90.2,2024-04-30,Needs Maintenance
King Saud University,Dhahran,Task Organizer,Facility Management,194,160,82.5,2024-01-23,Active
Tasnee,Madinah,Inspection Robot,Logistics,260,227,87.3,2024-01-04,Active
Mobily,Jubail,Service Robot,Healthcare,34,32,94.1,2024-03-25,Active
Saudi German Hospital,Abha,Inspection Robot,Administration,107,95,88.8,2024-01-09,Active
Riyadh Airports,Mecca,Sorting Robot,Logistics,293,251,85.7,2024-01-17,Active
Al Rajhi Bank,Madinah,Sorting Robot,Administration,280,271,96.8,2024-05-11,Active
Saudi Aramco,Mecca,Task Organizer,IT,191,191,100.0,2024-04-08,Active
Riyadh Airports,Madinah,Medical Assistant,Customer Service,238,198,83.2,2024-03-21,Active
Ma'aden,Jubail,Medical Assistant,Healthcare,254,226,89.0,2024-03-08,Active
Tasnee,Madinah,Service Robot,Production,54,51,94.4,2024-05-09,Active
King Saud University,Madinah,Cleaning Robot,Healthcare,294,242,82.3,2024-05-06,Needs Maintenance
STC,Abha,Task Organizer,Security,137,125,91.2,2024-02-25,Active
Ma'aden,Jeddah,Service Robot,Production,205,177,86.3,2024-05-17,Active
National Water Company,Jeddah,Task Organizer,Healthcare,117,101,86.3,2024-03-13,Needs Maintenance
Tasnee,Jubail,Medical Assistant,Production,60,58,96.7,2024-03-05,Active
Al Rajhi Bank,Dammam,Medical Assistant,Customer Service,225,211,93.8,2024-05-15,Active
Al Rajhi Bank,Dhahran,Task Organizer,Security,246,199,80.9,2024-02-09,Needs Maintenance
Saudi Electricity Company,Jeddah,Task Organizer,Customer Service,256,236,92.2,2024-03-26,Inactive
King Saud University,Al Kharj,Delivery Robot,Customer Service,129,121,93.8,2024-02-19,Active
Mobily,Abha,Service Robot,Security,289,238,82.4,2024-03-13,Needs Maintenance
STC,Jubail,Service Robot,Facility Management,73,65,89.0,2024-01-10,Active
Saudi Electricity Company,Tabuk,Delivery Robot,IT,123,104,84.6,2024-05-13,Active
Saudi Aramco,Abha,Task Organizer,Facility Management,89,85,95.5,2024-01-31,Active
King Fahd Medical City,Tabuk,Medical Assistant,Security,300,272,90.7,2024-01-02,Active
King Fahd Medical City,Jeddah,Inspection Robot,Production,103,102,99.0,2024-04-10,Active
Saudi Post,Dhahran,Inspection Robot,Administration,82,78,95.1,2024-05-10,Active
Saudi Post,Riyadh,Delivery Robot,IT,147,129,87.8,2024-03-10,Active
STC,Riyadh,Task Organizer,Logistics,130,106,81.5,2024-03-03,Active
Mobily,Jeddah,Task Organizer,Administration,189,165,87.3,2024-02-27,Active
Mobily,Abha,Service Robot,Facility Management,195,156,80.0,2024-05-10,Active
Binladin Group,Tabuk,Service Robot,Administration,140,118,84.3,2024-01-06,Needs Maintenance
Ma'aden,Al Kharj,Cleaning Robot,IT,41,41,100.0,2024-01-31,Active
Saudi Red Crescent,Jeddah,Inspection Robot,Healthcare,143,127,88.8,2024-03-04,Active
Dar Al Riyadh,Al Kharj,Delivery Robot,Healthcare,148,127,85.8,2024-01-22,Active
Alhokair Group,Madinah,Sorting Robot,Customer Service,89,88,98.9,2024-04-03,Needs Maintenance
Saudi Red Crescent,Jeddah,Cleaning Robot,Healthcare,279,230,82.4,2024-03-14,Active
Alhokair Group,Al Kharj,Sorting Robot,Logistics,281,270,96.1,2024-01-07,Active
Saudi Electricity Company,Tabuk,Medical Assistant,Logistics,213,212,99.5,2024-05-04,Active
Alinma Bank,Tabuk,Task Organizer,Administration,166,156,94.0,2024-05-06,Inactive
SABIC,Al Kharj,Inspection Robot,Facility Management,47,45,95.7,2024-01-09,Active
Almarai,Riyadh,Sorting Robot,Healthcare,176,176,100.0,2024-04-11,Active
King Fahd Medical City,Dammam,Delivery Robot,Healthcare,185,176,95.1,2024-03-14,Inactive
Ma'aden,Riyadh,Sorting Robot,Administration,180,180,100.0,2024-02-16,Active
Saudi Red Crescent,Dammam,Sorting Robot,Customer Service,242,198,81.8,2024-04-17,Active
SABIC,Riyadh,Cleaning Robot,Security,139,124,89.2,2024-05-03,Active
King Fahd Medical City,Tabuk,Task Organizer,Administration,130,127,97.7,2024-01-26,Active
Ma'aden,Riyadh,Cleaning Robot,Customer Service,118,104,88.1,2024-04-15,Active
Mobily,Madinah,Task Organizer,Facility Management,159,145,91.2,2024-03-30,Active
Tasnee,Tabuk,Sorting Robot,Healthcare,239,208,87.0,2024-05-03,Active
STC,Al Kharj,Cleaning Robot,Facility Management,281,232,82.6,2024-04-02,Active
Riyadh Airports,Abha,Service Robot,Administration,83,76,91.6,2024-05-15,Active
Alinma Bank,Tabuk,Cleaning Robot,Logistics,134,113,84.3,2024-04-10,Active
Saudi Post,Dammam,Inspection Robot,Customer Service,147,143,97.3,2024-03-29,Inactive
Alhokair Group,Tabuk,Medical Assistant,Customer Service,172,156,90.7,2024-03-22,Inactive
Ma'aden,Dammam,Cleaning Robot,Administration,108,87,80.6,2024-01-16,Active
Saudi Red Crescent,Mecca,Medical Assistant,Administration,170,164,96.5,2024-01-07,Needs Maintenance
Binladin Group,Abha,Service Robot,Healthcare,114,102,89.5,2024-01-14,Active
Saudi German Hospital,Madinah,Delivery Robot,Security,280,239,85.4,2024-04-10,Active
Binladin Group,Jeddah,Medical Assistant,IT,244,242,99.2,2024-05-11,Active
Al Rajhi Bank,Abha,Cleaning Robot,Customer Service,228,227,99.6,2024-02-19,Inactive
Almarai,Mecca,Cleaning Robot,Customer Service,37,35,94.6,2024-02-06,Active
Riyadh Airports,Dhahran,Cleaning Robot,Production,33,33,100.0,2024-05-12,Active
Alhokair Group,Madinah,Inspection Robot,Facility Management,202,174,86.1,2024-01-19,Active
Tasnee,Abha,Delivery Robot,Logistics,92,91,98.9,2024-04-17,Active
STC,Jubail,Service Robot,Healthcare,78,73,93.6,2024-02-21,Active
Saudi German Hospital,Abha,Service Robot,Facility Management,283,280,98.9,2024-01-25,Needs Maintenance
Riyadh Airports,Mecca,Sorting Robot,Production,285,257,90.2,2024-04-01,Active
Saudi German Hospital,Mecca,Cleaning Robot,Security,141,131,92.9,2024-05-11,Active
Saudi Aramco,Dhahran,Delivery Robot,Security,89,86,96.6,2024-03-21,Active
Saudi Electricity Company,Madinah,Medical Assistant,Logistics,30,26,86.7,2024-01-09,Active
Al Rajhi Bank,Madinah,Cleaning Robot,Administration,61,57,93.4,2024-01-09,Active
Saudi German Hospital,Dhahran,Task Organizer,Logistics,270,262,97.0,2024-05-14,Active
King Fahd Medical City,Madinah,Task Organizer,IT,226,187,82.7,2024-04-02,Active
Binladin Group,Dammam,Sorting Robot,Customer Service,226,190,84.1,2024-04-10,Active
Dar Al Riyadh,Jubail,Sorting Robot,Facility Management,294,273,92.9,2024-04-03,Active
Riyadh Airports,Madinah,Task Organizer,Facility Management,204,191,93.6,2024-04-24,Active
King Fahd Medical City,Dhahran,Medical Assistant,IT,184,154,83.7,2024-01-30,Active
Tasnee,Dammam,Delivery Robot,Security,235,212,90.2,2024-03-23,Active
Al Rajhi Bank,Dhahran,Task Organizer,Logistics,287,237,82.6,2024-05-16,Active
King Saud University,Madinah,Inspection Robot,Facility Management,155,138,89.0,2024-04-25,Needs Maintenance
Alhokair Group,Jubail,Medical Assistant,Healthcare,217,189,87.1,2024-02-26,Active
National Water Company,Jubail,Service Robot,Production,158,133,84.2,2024-03-05,Active
Tasnee,Dammam,Task Organizer,Production,74,68,91.9,2024-04-07,Active
SABIC,Jubail,Medical Assistant,Production,221,213,96.4,2024-03-08,Active
Almarai,Jeddah,Inspection Robot,Logistics,71,69,97.2,2024-03-09,Active
Mobily,Dhahran,Sorting Robot,Logistics,192,163,84.9,2024-01-22,Active
Alhokair Group,Mecca,Inspection Robot,IT,55,45,81.8,2024-03-13,Active
Tasnee,Abha,Inspection Robot,Security,39,37,94.9,2024-02-04,Inactive
Dar Al Riyadh,Madinah,Cleaning Robot,Customer Service,211,187,88.6,2024-04-07,Under Repair
Alinma Bank,Abha,Service Robot,Logistics,58,56,96.6,2024-03-26,Active
Saudi Electricity Company,Al Kharj,Cleaning Robot,Healthcare,229,225,98.3,2024-04-25,Active
Al Rajhi Bank,Dhahran,Delivery Robot,Customer Service,49,49,100.0,2024-02-17,Active
Mobily,Abha,Service Robot,Security,246,218,88.6,2024-01-12,Active
STC,Dhahran,Cleaning Robot,Administration,100,87,87.0,2024-04-02,Under Repair
Riyadh Airports,Abha,Cleaning Robot,Facility Management,120,115,95.8,2024-01-27,Active
SABIC,Riyadh,Cleaning Robot,Facility Management,194,172,88.7,2024-01-22,Active
Saudi German Hospital,Dhahran,Service Robot,Customer Service,239,237,99.2,2024-04-26,Inactive
Alinma Bank,Dammam,Inspection Robot,Logistics,229,221,96.5,2024-02-17,Active
Binladin Group,Tabuk,Delivery Robot,Facility Management,280,259,92.5,2024-05-16,Needs Maintenance
Saudi Electricity Company,Jeddah,Sorting Robot,Production,40,36,90.0,2024-01-23,Active
Saudi Post,Mecca,Delivery Robot,Security,152,142,93.4,2024-02-03,Active
Saudi Electricity Company,Riyadh,Service Robot,Production,95,93,97.9,2024-03-27,Needs Maintenance
Saudi Post,Mecca,Sorting Robot,Facility Management,117,98,83.8,2024-01-09,Active
Ma'aden,Madinah,Cleaning Robot,Logistics,213,172,80.8,2024-05-07,Active
Saudi German Hospital,Jeddah,Medical Assistant,Security,218,185,84.9,2024-01-26,Active
SABIC,Riyadh,Service Robot,Security,191,181,94.8,2024-01-18,Under Repair
Tasnee,Jubail,Service Robot,Administration,180,156,86.7,2024-05-09,Active
Al Rajhi Bank,Abha,Task Organizer,Administration,71,71,100.0,2024-02-09,Active
Mobily,Jubail,Delivery Robot,Security,153,139,90.8,2024-03-20,Active
Dar Al Riyadh,Madinah,Delivery Robot,Administration,104,100,96.2,2024-05-06,Active
National Water Company,Jeddah,Task Organizer,Facility Management,179,149,83.2,2024-04-27,Active
King Saud University,Jeddah,Service Robot,Facility Management,46,40,87.0,2024-02-01,Active
Al Rajhi Bank,Mecca,Medical Assistant,Facility Management,178,164,92.1,2024-05-05,Active
Saudi Electricity Company,Riyadh,Delivery Robot,Healthcare,131,114,87.0,2024-03-15,Active
Saudi Aramco,Abha,Sorting Robot,Administration,133,126,94.7,2024-03-24,Active
National Water Company,Tabuk,Inspection Robot,Security,108,102,94.4,2024-01-31,Active
Dar Al Riyadh,Madinah,Medical Assistant,Production,126,110,87.3,2024-02-17,Active
Dar Al Riyadh,Dhahran,Inspection Robot,Customer Service,52,43,82.7,2024-03-14,Active
Alhokair Group,Tabuk,Cleaning Robot,Administration,117,108,92.3,2024-02-19,Inactive
Dar Al Riyadh,Dammam,Medical Assistant,Production,293,265,90.4,2024-02-05,Active
King Saud University,Mecca,Sorting Robot,Security,94,83,88.3,2024-05-01,Active
Saudi Aramco,Dammam,Task Organizer,Security,193,170,88.1,2024-01-08,Under Repair
Saudi Red Crescent,Mecca,Inspection Robot,Customer Service,229,201,87.8,2024-03-19,Active
King Fahd Medical City,Madinah,Service Robot,Logistics,217,183,84.3,2024-02-21,Active
Almarai,Dammam,Service Robot,Customer Service,241,221,91.7,2024-03-22,Active
Dar Al Riyadh,Al Kharj,Delivery Robot,Customer Service,229,201,87.8,2024-03-28,Active
Saudi Red Crescent,Mecca,Sorting Robot,Healthcare,53,45,84.9,2024-02-06,Active
National Water Company,Al Kharj,Delivery Robot,Facility Management,53,49,92.5,2024-04-07,Active
Alinma Bank,Tabuk,Task Organizer,Facility Management,232,214,92.2,2024-01-27,Active
King Fahd Medical City,Jeddah,Inspection Robot,Logistics,242,200,82.6,2024-05-04,Active
Saudi Red Crescent,Madinah,Service Robot,Logistics,66,62,93.9,2024-01-26,Needs Maintenance
Saudi Post,Al Kharj,Task Organizer,Security,193,189,97.9,2024-05-11,Active
National Water Company,Riyadh,Inspection Robot,Logistics,103,89,86.4,2024-05-14,Active
National Water Company,Abha,Task Organizer,Production,118,117,99.2,2024-05-17,Active
Mobily,Mecca,Delivery Robot,Production,214,211,98.6,2024-05-16,Inactive
National Water Company,Abha,Service Robot,Administration,253,231,91.3,2024-01-04,Active
Ma'aden,Al Kharj,Medical Assistant,Security,194,178,91.8,2024-03-26,Active
Alhokair Group,Dhahran,Medical Assistant,Security,216,191,88.4,2024-02-01,Needs Maintenance
Mobily,Madinah,Delivery Robot,Production,295,289,98.0,2024-02-25,Inactive
Alhokair Group,Dammam,Service Robot,Logistics,199,160,80.4,2024-02-08,Active
Tasnee,Riyadh,Medical Assistant,IT,294,271,92.2,2024-04-28,Needs Maintenance
STC,Tabuk,Inspection Robot,Customer Service,281,243,86.5,2024-05-09,Needs Maintenance
Saudi Red Crescent,Dammam,Sorting Robot,Facility Management,103,89,86.4,2024-04-17,Active
Tasnee,Madinah,Delivery Robot,Logistics,269,257,95.5,2024-04-17,Active
King Fahd Medical City,Madinah,Inspection Robot,Production,295,260,88.1,2024-03-22,Active
Tasnee,Riyadh,Service Robot,Facility Management,74,72,97.3,2024-04-24,Active
Ma'aden,Mecca,Medical Assistant,Security,163,147,90.2,2024-05-11,Active
Al Rajhi Bank,Jubail,Sorting Robot,Customer Service,233,231,99.1,2024-03-14,Needs Maintenance
King Saud University,Tabuk,Task Organizer,Administration,271,244,90.0,2024-01-24,Needs Maintenance
Al Rajhi Bank,Dhahran,Delivery Robot,Facility Management,296,270,91.2,2024-02-25,Under Repair
Saudi Aramco,Dammam,Inspection Robot,Security,281,271,96.4,2024-03-09,Active
Saudi Aramco,Abha,Delivery Robot,Production,201,173,86.1,2024-04-15,Active
Alinma Bank,Mecca,Delivery Robot,Production,195,187,95.9,2024-05-05,Under Repair
Riyadh Airports,Al Kharj,Delivery Robot,Administration,269,240,89.2,2024-01-03,Active
King Fahd Medical City,Riyadh,Inspection Robot,Customer Service,279,263,94.3,2024-05-09,Active
Alinma Bank,Al Kharj,Inspection Robot,Customer Service,258,241,93.4,2024-04-15,Active
Binladin Group,Al Kharj,Delivery Robot,Customer Service,196,171,87.2,2024-03-05,Active
Dar Al Riyadh,Mecca,Cleaning Robot,IT,117,98,83.8,2024-04-09,Active
STC,Dhahran,Delivery Robot,Facility Management,154,127,82.5,2024-04-02,Inactive
STC,Al Kharj,Inspection Robot,Logistics,105,100,95.2,2024-01-05,Inactive
King Saud University,Abha,Service Robot,Administration,177,142,80.2,2024-02-26,Active
Riyadh Airports,Madinah,Delivery Robot,Administration,294,263,89.5,2024-05-05,Needs Maintenance
SABIC,Dhahran,Medical Assistant,Administration,103,92,89.3,2024-01-10,Under Repair
Al Rajhi Bank,Dammam,Sorting Robot,Administration,257,213,82.9,2024-04-16,Active
Saudi Post,Mecca,Medical Assistant,Facility Management,119,100,84.0,2024-04-09,Needs Maintenance
Al Rajhi Bank,Tabuk,Service Robot,IT,300,261,87.0,2024-02-20,Under Repair
Almarai,Mecca,Task Organizer,Logistics,175,171,97.7,2024-05-16,Active
Saudi Post,Tabuk,Inspection Robot,Customer Service,280,261,93.2,2024-05-03,Active
SABIC,Dammam,Inspection Robot,Healthcare,112,96,85.7,2024-01-12,Active
STC,Jeddah,Medical Assistant,Customer Service,271,223,82.3,2024-04-13,Active
Binladin Group,Madinah,Service Robot,Administration,60,54,90.0,2024-02-02,Active
Alhokair Group,Riyadh,Service Robot,Healthcare,32,27,84.4,2024-04-26,Inactive
National Water Company,Riyadh,Inspection Robot,Production,283,260,91.9,2024-04-26,Active
Almarai,Abha,Service Robot,Logistics,138,127,92.0,2024-05-07,Under Repair
Ma'aden,Dhahran,Service Robot,Customer Service,93,89,95.7,2024-03-12,Active
Alinma Bank,Mecca,Medical Assistant,Logistics,90,85,94.4,2024-02-20,Needs Maintenance
Tasnee,Dammam,Sorting Robot,Administration,138,138,100.0,2024-04-20,Active
Saudi Aramco,Mecca,Cleaning Robot,Security,153,134,87.6,2024-02-01,Active
Binladin Group,Jubail,Delivery Robot,Facility Management,247,222,89.9,2024-05-11,Active
King Saud University,Abha,Sorting Robot,Security,201,173,86.1,2024-01-25,Active
Riyadh Airports,Riyadh,Sorting Robot,Administration,192,165,85.9,2024-03-26,Active
Ma'aden,Jubail,Inspection Robot,Healthcare,173,161,93.1,2024-04-03,Active
Alinma Bank,Riyadh,Medical Assistant,Administration,43,40,93.0,2024-04-12,Inactive
Alinma Bank,Madinah,Task Organizer,Administration,211,210,99.5,2024-03-17,Under Repair
Mobily,Tabuk,Sorting Robot,Administration,137,122,89.1,2024-01-12,Active
King Fahd Medical City,Dhahran,Sorting Robot,Customer Service,197,186,94.4,2024-04-26,Needs Maintenance
Saudi Post,Tabuk,Cleaning Robot,Security,97,95,97.9,2024-02-28,Active
Almarai,Dhahran,Delivery Robot,Administration,298,284,95.3,2024-03-27,Active
Saudi German Hospital,Al Kharj,Medical Assistant,Production,61,57,93.4,2024-05-11,Active
Riyadh Airports,Abha,Delivery Robot,Customer Service,110,93,84.5,2024-03-09,Under Repair
Dar Al Riyadh,Dammam,Task Organizer,Administration,30,26,86.7,2024-01-21,Active
Saudi Aramco,Abha,Delivery Robot,Administration,194,190,97.9,2024-01-12,Under Repair
King Fahd Medical City,Dhahran,Delivery Robot,Security,286,277,96.9,2024-03-24,Active
Ma'aden,Dammam,Cleaning Robot,IT,241,230,95.4,2024-04-08,Active
Dar Al Riyadh,Dhahran,Inspection Robot,Healthcare,144,132,91.7,2024-04-26,Active
National Water Company,Mecca,Inspection Robot,Customer Service,219,216,98.6,2024-02-11,Active
Mobily,Jeddah,Task Organizer,Production,139,138,99.3,2024-03-10,Active
King Fahd Medical City,Mecca,Sorting Robot,Logistics,98,98,100.0,2024-03-30,Active
Mobily,Riyadh,Medical Assistant,Logistics,80,66,82.5,2024-05-04,Active
Ma'aden,Mecca,Task Organizer,Customer Service,156,132,84.6,2024-02-25,Inactive
Saudi German Hospital,Riyadh,Inspection Robot,Administration,103,93,90.3,2024-05-10,Under Repair
Binladin Group,Dhahran,Sorting Robot,Security,266,263,98.9,2024-04-04,Needs Maintenance
Saudi Electricity Company,Jeddah,Medical Assistant,Security,234,190,81.2,2024-04-25,Active
Saudi Electricity Company,Tabuk,Sorting Robot,Healthcare,70,67,95.7,2024-04-03,Active
Saudi German Hospital,Dhahran,Inspection Robot,Production,39,32,82.1,2024-04-24,Active
Saudi Aramco,Al Kharj,Cleaning Robot,Facility Management,156,153,98.1,2024-04-07,Active
Dar Al Riyadh,Jubail,Cleaning Robot,Healthcare,176,154,87.5,2024-04-14,Active
Alinma Bank,Dammam,Task Organizer,Customer Service,284,240,84.5,2024-05-15,Active
STC,Abha,Delivery Robot,Production,161,160,99.4,2024-01-12,Needs Maintenance
Al Rajhi Bank,Abha,Cleaning Robot,Security,287,247,86.1,2024-04-29,Active
SABIC,Abha,Inspection Robot,Administration,32,27,84.4,2024-02-19,Under Repair
Saudi German Hospital,Jeddah,Sorting Robot,Customer Service,58,51,87.9,2024-02-17,Active
Binladin Group,Abha,Service Robot,Logistics,251,201,80.1,2024-04-22,Active
Saudi Post,Tabuk,Task Organizer,Logistics,58,55,94.8,2024-03-14,Needs Maintenance
Saudi Aramco,Riyadh,Service Robot,Administration,115,96,83.5,2024-04-26,Active
Saudi Aramco,Riyadh,Sorting Robot,Healthcare,229,190,83.0,2024-04-09,Under Repair
Ma'aden,Al Kharj,Medical Assistant,Customer Service,64,54,84.4,2024-02-08,Under Repair
STC,Jeddah,Inspection Robot,Customer Service,167,161,96.4,2024-05-02,Needs Maintenance
Al Rajhi Bank,Riyadh,Cleaning Robot,Facility Management,186,161,86.6,2024-01-18,Active
Alhokair Group,Riyadh,Task Organizer,Production,117,99,84.6,2024-05-18,Active
Dar Al Riyadh,Mecca,Inspection Robot,Administration,136,113,83.1,2024-04-20,Under Repair
Alinma Bank,Tabuk,Service Robot,Administration,255,204,80.0,2024-01-12,Inactive
